metro_code,metro_name,metro_pop,metro_type,variable_name,applications,loans,denials,results_def,odds_ratio,odds_ratio_rd,number_denials_compared_to_10_white,white_loans,white_denials,white_apps
24620,"Greeneville, TN",68834,Micropolitan Statistical Area,Black,2,2,0,No meaningful results,,,,229,17,246
24620,"Greeneville, TN",68834,Micropolitan Statistical Area,Latino,3,3,0,No meaningful results,,,,229,17,246
24620,"Greeneville, TN",68834,Micropolitan Statistical Area,Native American,0,0,0,No meaningful results,,,,229,17,246
24620,"Greeneville, TN",68834,Micropolitan Statistical Area,AAPI,1,1,0,No meaningful results,,,,229,17,246
17420,"Cleveland, TN",122563,Metropolitan Statistical Area,Black,11,9,2,No meaningful results,,,,561,27,588
17420,"Cleveland, TN",122563,Metropolitan Statistical Area,Latino,30,27,3,No meaningful results,,,,561,27,588
17420,"Cleveland, TN",122563,Metropolitan Statistical Area,Native American,1,1,0,No meaningful results,,,,561,27,588
17420,"Cleveland, TN",122563,Metropolitan Statistical Area,AAPI,11,9,2,No meaningful results,,,,561,27,588
48864,"Wilmington, DE-MD-NJ",721707,Metropolitan Division,Black,553,494,59,Regression equation needs to be tweaked,2.193169463,2.2,22,3193,137,3330
48864,"Wilmington, DE-MD-NJ",721707,Metropolitan Division,Latino,264,242,22,Regression equation needs to be tweaked,1.438060153,1.4,14,3193,137,3330
48864,"Wilmington, DE-MD-NJ",721707,Metropolitan Division,Native American,17,16,1,Regression equation needs to be tweaked,0.43926497,0.4,4,3193,137,3330
48864,"Wilmington, DE-MD-NJ",721707,Metropolitan Division,AAPI,455,417,38,Regression equation needs to be tweaked,1.767881708,1.8,18,3193,137,3330
20100,"Dover, DE",176699,Metropolitan Statistical Area,Black,169,154,15,No meaningful results,,,,543,24,567
20100,"Dover, DE",176699,Metropolitan Statistical Area,Latino,22,19,3,No meaningful results,,,,543,24,567
20100,"Dover, DE",176699,Metropolitan Statistical Area,Native American,3,3,0,No meaningful results,,,,543,24,567
20100,"Dover, DE",176699,Metropolitan Statistical Area,AAPI,44,37,7,No meaningful results,,,,543,24,567
41540,"Salisbury, MD-DE",404417,Metropolitan Statistical Area,Black,113,97,16,Regression equation needs to be tweaked,2.435887476,2.4,24,2580,136,2716
41540,"Salisbury, MD-DE",404417,Metropolitan Statistical Area,Latino,96,86,10,Regression equation needs to be tweaked,1.484459727,1.5,15,2580,136,2716
41540,"Salisbury, MD-DE",404417,Metropolitan Statistical Area,Native American,7,6,1,Regression equation needs to be tweaked,2.53032941,2.5,25,2580,136,2716
41540,"Salisbury, MD-DE",404417,Metropolitan Statistical Area,AAPI,74,64,10,Regression equation needs to be tweaked,2.74047839,2.7,27,2580,136,2716
33980,"Morehead City, NC",69070,Micropolitan Statistical Area,Black,3,3,0,No meaningful results,,,,492,37,529
33980,"Morehead City, NC",69070,Micropolitan Statistical Area,Latino,9,9,0,No meaningful results,,,,492,37,529
33980,"Morehead City, NC",69070,Micropolitan Statistical Area,Native American,1,1,0,No meaningful results,,,,492,37,529
33980,"Morehead City, NC",69070,Micropolitan Statistical Area,AAPI,5,4,1,No meaningful results,,,,492,37,529
20500,"Durham-Chapel Hill, NC",626695,Metropolitan Statistical Area,Black,617,553,64,Statistcially significant disparity,2.086632112,2.1,21,4680,194,4874
